date,close,volume,currency
2026-08-21,1398.5,DKK,2026-08-22T07:35:39.583Z
2026-08-28,1373,DKK,2026-08-29T09:58:41.096Z
2026-09-04,1321.5,DKK,2026-09-05T13:34:43.144Z
