date,close,volume,currency
2026-08-21,220,DKK,2026-08-22T07:37:29.521Z
2026-08-28,212,DKK,2026-08-29T10:38:43.687Z
2026-09-04,210,DKK,2026-09-05T13:36:53.561Z
